SUBGROEPID,SUBGROEPCODE
5757727,PBA-TIN-TI/VC/2
5757728,PBA-TIN-TI/VC/2
5757729,PBA-TIN-TI/VC/2
5757730,PBA-TIN-TI/VC/2
5757731,PBA-TIN-TI/VC/2
5757732,PBA-TIN-TI/VC/2
5757847,GRAD-HVAC/1A
5757849,GRAD-HVAC/1A
5757850,GRAD-HVAC/1A
5757851,GRAD-HVAC/1A
5757852,GRAD-HVAC/1A
5757853,GRAD-HVAC/1A
5757854,GRAD-HVAC/1A
5757855,GRAD-HVAC/1A
5757863,GRAD-HVAC/1A
5757910,GRAD-HVAC/1B
5757911,GRAD-HVAC/1B
5757912,GRAD-HVAC/1B
5757915,GRAD-HVAC/1B
5757917,GRAD-HVAC/1B
5757918,GRAD-HVAC/1B
5757926,GRAD-HVAC/1B
5757932,GRAD-HVAC/1C
5757933,GRAD-HVAC/1C
5757935,GRAD-HVAC/1C
5757936,GRAD-HVAC/1C
5757937,GRAD-HVAC/1C
5757939,GRAD-HVAC/1C
5757940,GRAD-HVAC/1C
5757941,GRAD-HVAC/1C
5757948,GRAD-HVAC/1C
5757956,PBA-CH/1A2
5757958,PBA-CH/1A2
5757960,PBA-CH/1A2
5757962,PBA-CH/1A2
5757963,PBA-CH/1A2
5757964,PBA-CH/1A2
5757965,PBA-CH/1A2
5758000,PBA-CH/1A2
5758001,PBA-CH/1A2
5758033,PBA-CH/1C2
5758037,PBA-CH/1C2
5758038,PBA-CH/1C2
5759289,PBA-BM-MK/3C1
5759579,PBA-BM-MK/3C1
5759580,PBA-BM-MK/3C1
5759584,PBA-BM-MK/3C1
5759588,PBA-BM-MK/3C1
5760221,PBA-OM-BTI/1
5760222,PBA-OM-BTI/1
5760226,PBA-OM-BTI/1
5760228,PBA-OM-BTI/1
5760231,PBA-OM-BTI/1
5760235,PBA-OM-BTI/1
5760319,PBA-OM-BTI/1
5760320,PBA-OM-BTI/1
5760333,PBA-OM-BTI/1
5760336,PBA-OM-BTI/1
5760388,PBA-OM-BTI/2
5760389,PBA-OM-BTI/2
5760404,PBA-OM-BTI/2
5760458,PBA-OM-BTI/2
5760459,PBA-OM-BTI/2
5760460,PBA-OM-BTI/2
5760461,PBA-OM-BTI/2
5760462,PBA-OM-BTI/2
5760472,PBA-OM-BTI/2
5760487,PBA-OM-BTI/2
5760661,PBA-BM-FV/1SEM2
5761401,PBA-BM-FV/3A1
5761406,PBA-BM-FV/3A1
5761409,PBA-BM-FV/3A1
5761412,PBA-BM-FV/3A1
5762022,PBA-BM-SCM/2A
5762023,PBA-BM-SCM/2A
5762258,PBA-BM-SCM/3SEM2
5762792,PBA-BM-FV/2SEM2
5762796,PBA-BM-FV/2SEM2
5763965,PBA-BM-SCM/3A
5763969,PBA-BM-SCM/3A
5765991,PBA-BM-AF/VT/FV
5765995,PBA-BM-AF/VT/FV
5765998,PBA-BM-AF/VT/FV
5765999,PBA-BM-AF/VT/FV
5766002,PBA-BM-AF/VT/FV
5766005,PBA-BM-AF/VT/FV
5766006,PBA-BM-AF/VT/FV
5766009,PBA-BM-AF/VT/FV
5766125,PBA-BM-AF/VT/FV
5766238,PBA-BM-FV/VT/AF
5766239,PBA-BM-FV/VT/AF
5766248,PBA-BM-FV/VT/AF
5766251,PBA-BM-FV/VT/AF
5766252,PBA-BM-FV/VT/AF
5766264,PBA-BM-FV/VT/AF
5766739,PBA-TIN2-TI/1A
5766740,PBA-TIN2-TI/1A
5766741,PBA-TIN2-TI/1A
5766743,PBA-TIN2-TI/1A
5766744,PBA-TIN2-TI/1A
5766745,PBA-TIN2-TI/1A
5766746,PBA-TIN2-TI/1A
5766747,PBA-TIN2-TI/1A
5766748,PBA-TIN2-TI/1A
5766749,PBA-TIN2-TI/1A
5766750,PBA-TIN2-TI/1A
5766751,PBA-TIN2-TI/1A
5766752,PBA-TIN2-TI/1A
5766828,PBA-TIN2-TI/2A
5766829,PBA-TIN2-TI/2A
5766830,PBA-TIN2-TI/2A
5766832,PBA-TIN2-TI/2A
5766833,PBA-TIN2-TI/2A
5766835,PBA-TIN2-TI/2A
5766841,PBA-TIN2-TI/2A
5766843,PBA-TIN2-TI/2A
5766844,PBA-TIN2-TI/2A
5766926,PBA-TIN2-TI/3A
5766946,PBA-TIN2-TI/3A
5767516,PBA-BM-KM/3SEM1
5768009,PBA-BM-KM/3SEM2
5768017,PBA-BM-KM/3SEM2
5768018,PBA-BM-KM/3SEM2
5768785,PBA-BM-FV/1B
5768790,PBA-BM-FV/1B
5768791,PBA-BM-FV/1B
5768794,PBA-BM-FV/1B
5768795,PBA-BM-FV/1B
5768797,PBA-BM-FV/1B
5768798,PBA-BM-FV/1B
5768800,PBA-BM-FV/1B
5768802,PBA-BM-FV/1B
5768805,PBA-BM-FV/1B
5768847,PBA-BM-FV/1B
5769409,PBA-BM-KM/3B
5769412,PBA-BM-KM/3B
5769413,PBA-BM-KM/3B
5769416,PBA-BM-KM/3B
5769418,PBA-BM-KM/3B
5769422,PBA-BM-KM/3B
5769428,PBA-BM-KM/3B
5769429,PBA-BM-KM/3B
