LessonType,ClassName,SessionCount,ValidAttendanceRates,ExpectedStudentsSum,PresentStudentsSum,WeightedAttendanceRate,MeanAttendanceRate,MedianAttendanceRate,StandardDeviation,Variance,Minimum,Percentile10,Quartile1,Quartile3,Percentile90,Maximum,InterquartileRange,CoefficientOfVariation,MeanExpectedStudents,MedianExpectedStudents,MeanPresentStudents,MedianPresentStudents
Gewoon vak,Deep Learning,15.0,15.0,1080.0,199.0,0.18425925925925926,0.18425925925925926,0.19444444444444445,0.10828074968570606,0.011724720752498531,0.013888888888888888,0.05,0.11805555555555555,0.24305555555555555,0.3138888888888889,0.4027777777777778,0.125,0.5876543199023243,72.0,72.0,13.266666666666667,14.0
Gewoon vak,Classic Computer Science Algorithms,80.0,80.0,9284.0,1780.0,0.1917277035760448,0.1855453995785071,0.18823529411764706,0.10724497572610543,0.011501484818492945,0.0,0.012287581699346404,0.10799232736572889,0.24691358024691357,0.3259420289855073,0.4740740740740741,0.13892125288118468,0.5779985705370638,116.05,92.0,22.25,20.0
Gewoon vak,Computer Networks II,25.0,25.0,1004.0,244.0,0.24302788844621515,0.26640306122448976,0.1875,0.27785993453429936,0.07720614321940511,0.0,0.0,0.0625,0.22448979591836735,0.7375,0.75,0.16198979591836735,1.0430057870099145,40.16,32.0,9.76,9.0
Gewoon vak,Operating Systems,70.0,70.0,8117.0,1472.0,0.18134778859184428,0.1827181437355138,0.18359375,0.10139034452765984,0.010280001963437563,0.0,0.04380727939251113,0.1206896551724138,0.2577589277762935,0.30694444444444446,0.417910447761194,0.1370692726038797,0.5549002548669896,115.95714285714286,114.0,21.02857142857143,20.5
Gewoon vak,Computer Systems,12.0,12.0,684.0,118.0,0.17251461988304093,0.17251461988304095,0.17543859649122806,0.12558563856531477,0.015771752613857878,0.0,0.0017543859649122823,0.09649122807017543,0.2324561403508772,0.356140350877193,0.3684210526315789,0.13596491228070176,0.7279709896497906,57.0,57.0,9.833333333333334,10.0
Gewoon vak,Linux for Data Scientists,14.0,14.0,1144.0,200.0,0.17482517482517482,0.17307207783398262,0.1728395061728395,0.09178209045717735,0.008423952128689485,0.0,0.0691358024691358,0.13271604938271603,0.20987654320987653,0.26049382716049385,0.37362637362637363,0.0771604938271605,0.5303113685687546,81.71428571428571,81.0,14.285714285714286,14.0
Gewoon vak,Web Services,32.0,32.0,2487.0,449.0,0.18053880176919984,0.17903303310669383,0.1703667953667954,0.07831187179027482,0.006132749263296442,0.0,0.0989010989010989,0.13431838431838433,0.21476833976833976,0.2855212355212355,0.3516483516483517,0.08044995544995542,0.43741576865094645,77.71875,74.0,14.03125,12.0
Gewoon vak,IT2Business,50.0,50.0,2960.0,536.0,0.1810810810810811,0.17639583733179795,0.1689342403628118,0.12174069549117263,0.01482079693867442,0.0,0.009183673469387758,0.07142857142857142,0.25396825396825395,0.3448275862068966,0.3968253968253968,0.18253968253968253,0.690156283349137,59.2,63.0,10.72,11.0
Gewoon vak,Business Start Up IT,2.0,2.0,54.0,9.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.23570226039551584,0.05555555555555555,0.0,0.03333333333333333,0.08333333333333333,0.25,0.3,0.3333333333333333,0.16666666666666669,1.4142135623730951,27.0,27.0,4.5,4.5
Gewoon vak,Relational Databases & Datawarehousing,57.0,57.0,5405.0,947.0,0.1752081406105458,0.1578044366852913,0.16129032258064516,0.11158528159640685,0.012451275068949412,0.0,0.0,0.06930693069306931,0.23655913978494625,0.29799999999999993,0.43564356435643564,0.16725220909187694,0.7071111810306125,94.82456140350877,100.0,16.614035087719298,17.0
Gewoon vak,Research Methods,39.0,39.0,5186.0,841.0,0.16216737369841883,0.16398635325365796,0.16037735849056603,0.09445061318381948,0.008920918330799494,0.0,0.04240860215053764,0.0985663082437276,0.2361334136223739,0.309433962264151,0.3333333333333333,0.1375671053786463,0.5759663003037884,132.97435897435898,93.0,21.564102564102566,18.0
Gewoon vak,A.I. voor de bachelorstudent,12.0,12.0,1248.0,176.0,0.14102564102564102,0.14102564102564105,0.15384615384615385,0.09088106973562708,0.008259368836291914,0.0,0.04134615384615385,0.07451923076923077,0.19230769230769232,0.22692307692307695,0.3269230769230769,0.11778846153846155,0.644429403579901,104.0,104.0,14.666666666666666,16.0
Gewoon vak,Modern Data Architectures,36.0,36.0,3011.0,506.0,0.1680504815675855,0.15509510574495333,0.146931853222325,0.08183295079769429,0.006696631836257854,0.0,0.058242753623188405,0.121875,0.19148936170212766,0.2391304347826087,0.37681159420289856,0.06961436170212766,0.5276307747084216,83.63888888888889,80.0,14.055555555555555,11.5
