year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Professionele tools 2: HVAC-sturingen,194307,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '90,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '90,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '10,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Werkveldcontact 1,194308,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Verslag', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Werkveldcontact 2,194309,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '65,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '65,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Presentatie', 'percentage': '35,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Professionele tools 1: dimensioneren,194310,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Stage 1,194311,9 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Stage 2,194312,24 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Bouwrekenen,194313,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Communicatievaardigheden 1,194314,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '50,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '50,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '40,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '100,00'}], [{'moment': 'Communicatievaardigheden', 'format': 'op 20 (tot op een geheel getal)', 'percentage': 'Ja'}, {'moment': 'ICT Skills', 'format': 'op 20 (tot op een geheel getal)', 'percentage': 'Ja'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Communicatievaardigheden,194315,2 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '50,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '50,00'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",ICT Skills,194316,2 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '40,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '100,00'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Digitale planontwikkeling,194317,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '15,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '25,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '60,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Bouwrecht,194318,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Leiding geven: methodisch handelen,194319,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '50,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '50,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Uitvoeringstechnieken 01,194320,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Metselwerkconstructies', 'format': 'op 20 (tot op een geheel getal)', 'percentage': 'Nee'}, {'moment': 'Betontechnologie', 'format': 'op 20 (tot op een geheel getal)', 'percentage': 'Nee'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Metselwerkconstructies,194321,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Betontechnologie,194322,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Project 01: werfinrichting,194323,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '90,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Verslag', 'percentage': '90,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '10,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '100,00'}], [{'moment': 'Werfinrichting en werfplanning', 'format': 'op 20 (tot op een geheel getal)', 'percentage': 'Ja'}, {'moment': 'Werken met machines', 'format': 'op 20 (tot op een geheel getal)', 'percentage': 'Ja'}, {'moment': 'Labo werf', 'format': 'op 20 (tot op een geheel getal)', 'percentage': 'Ja'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Werfinrichting en werfplanning,194324,2 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '40,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Werken met machines,194325,1 studiepunt,"[[{'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '90,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Verslag', 'percentage': '90,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '10,00'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Labo werf,194326,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '100,00'}]]",
2025-26,"['Graduaat in de werforganisatie, trajectschijf 1']",Constructie: ruwbouw,194327,5 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '75,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '75,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '25,00'}]]",wel mogelijk.
