RoomKey,Building,RoomFloor,Code,RoomName,Category,Capacity,Area
4212,2,,21.02.100.004,GMRCB.0.004interventiebeheer,leslokaal,NULL,0
4249,2,,21.02.090.003,GMRCB.-1.KO3Archief/bibliotheek,archief,NULL,0
4250,2,,21.02.130.006,GMRCB.3.archief,archief,NULL,5.3
4251,2,,21.02.130.005,GMRCB.3.archief,archief,NULL,1.42
4255,2,,21.02.130.004,GMRCB.3.archief,archief,NULL,30.04
4262,2,,21.02.130.003,GMRCB.3.archief,archief,NULL,13.85
4264,2,,21.02.090.004,GMRCB.-1.archief,archief,NULL,0
4265,2,,21.02.090.006,GMRCB.-1.archief,archief,NULL,0
4268,2,,21.02.130.001,GMRCB.3.archief,archief,NULL,26.07
4272,2,,21.02.090.005,GMRCB.-1.archief,archief,NULL,0
4274,2,,21.02.130.002,GMRCB.3.archief,archief,NULL,13.26
4279,2,,21.02.090.013,GMRCB.-1.KO13,liftmachine,NULL,0
4305,2,,21.02.120.004,GMRCB.2.004,HVAC,NULL,0
4322,2,,21.02.090.001,GMRCB.-1.KO1,HVAC,NULL,0
4332,2,,21.02.120.003,GMRCB.2.003,practicum,NULL,0
4333,2,,21.02.090.015,GMRCB.-1.KO15,practicum,NULL,0
4334,2,,21.02.100.005,GMRCB.0.005,practicum,NULL,0
4335,2,,21.02.120.006,GMRCB.2.006,practicum,NULL,0
4336,2,,21.02.090.016,GMRCB.-1.KO16,practicum,NULL,0
4337,2,,21.02.120.005,GMRCB.2.005,practicum,NULL,0
4340,2,,21.02.100.008,GMRCB.0.008,eerstehulplokaal,NULL,16.89
4349,2,,21.02.110.012,GMRCB.1.012,kantoor,NULL,0
4351,2,,21.02.110.003,GMRCB.1.003,kantoor,NULL,0
4354,2,,21.02.110.004,GMRCB.1.004,kantoor,NULL,0
4357,2,,21.02.110.008,GMRCB.1.008,kantoor,NULL,0
4359,2,,21.02.100.012,GMRCB.0.012,kantoor,NULL,0
4360,2,,21.02.100.015,GMRCB.0.015,kantoor,NULL,0
4361,2,,21.02.110.009,GMRCB.1.009,kantoor,NULL,0
4366,2,,21.02.120.011,GMRCB.2.011,kantoor,NULL,51.29
4367,2,,21.02.110.020,GMRCB.1.019,kantoor,NULL,0
4370,2,,21.02.100.014,GMRCB.0.014,kantoor,NULL,0
4371,2,,21.02.100.011,GMRCB.0.011,kantoor,NULL,0
4373,2,,21.02.110.018,GMRCB.1.018,kantoor,NULL,19.67
4378,2,,21.02.110.017,GMRCB.1.017,kantoor,NULL,0
4385,2,,21.02.100.013,GMRCB.0.013,kantoor,NULL,33.09
4386,2,,21.02.110.013,GMRCB.1.013,kantoor,NULL,0
4399,2,,21.02.120.012,GMRCB.2.012,kantoor,NULL,0
4405,2,,21.02.090.014,GMRCB.-1.KO14,kantoor,NULL,21.39
4407,2,,21.02.110.014,GMRCB.1.014,kantoor,NULL,0
4408,2,,21.02.110.019,GMRCB.1.019,kantoor,NULL,0
4412,2,,21.02.110.002,GMRCB.1.002,kantoor,NULL,0
4416,2,,21.02.120.009,GMRCB.2.009,kantoor,NULL,0
4419,2,,21.02.110.007,GMRCB.1.007,kantoor,NULL,0
4427,2,,21.02.110.001,GMRCB.1.001,kantoor,NULL,0
4430,2,,21.02.100.002,GMRCB.0.002,kantoor,NULL,0
4432,2,,21.02.110.016,GMRCB.1.016,kantoor,NULL,0
4434,2,,21.02.120.007,GMRCB.2.007,kantoor,NULL,0
4569,2,,23.02.090.900,GBCLO.-1.900,traphal,NULL,22.84
4572,2,,23.02.110.902,GBCLO.1.902,traphal,NULL,11.26
4576,2,,23.02.120.900,GBCLO.2.900,traphal,NULL,15.99
4578,2,,23.02.090.902,GBCLO.-1.902,traphal,NULL,16.16
4579,2,,23.02.100.043,GBCLO.0.043,traphal,NULL,72.21
4581,2,,23.02.110.900,GBCLO.1.900,traphal,NULL,22.82
4586,2,,23.02.100.906,GBCLO.0.906,traphal,NULL,13.91
4589,2,,23.02.110.909,GBCLO.1.909,traphal,NULL,1.94
4594,2,,23.02.110.923,GBCLO.1.923,traphal,NULL,1.56
4600,2,,23.02.100.905,GBCLO.0.905,traphal,NULL,12.21
4604,2,,23.02.110.907,GBCLO.1.907,traphal,NULL,7.48
