SubgroupKey;SubgroupCode;ProgramName;ProgramFamily;ProgramNameSource;ProgramFamilySource;InferenceConfidence;InferenceEvidenceCount
8006;6026776;PBA-CH/1F1;PBA-CH;students;students;;
8007;6026777;PBA-CH/1F2;PBA-CH;students;students;;
8008;6026778;PBA-CH/1A2;PBA-CH;students;students;;
8009;6026779;PBA-CH/1C2;PBA-CH;students;students;;
8010;6026780;PBA-CH/1E2;PBA-CH;students;students;;
8011;6026788;PBA-CH/1B1;PBA-CH;students;students;;
8012;6026789;;PBA-CH;;lecture_subgroup_cooccurrence;1.0;14.0
8013;6026800;PBA-CH/1D2;PBA-CH;students;students;;
8014;6026801;PBA-CH/1E1;PBA-CH;students;students;;
8015;6026803;PBA-CH/1A1;PBA-CH;students;students;;
8016;6026804;PBA-CH/1C1;PBA-CH;students;students;;
8017;6026805;PBA-CH/1D1;PBA-CH;students;students;;
8018;6026806;PBA-CH/1F1;PBA-CH;students;students;;
8019;6026807;PBA-CH/1F2;PBA-CH;students;students;;
8020;6026808;PBA-CH/1A2;PBA-CH;students;students;;
8021;6026809;PBA-CH/1C2;PBA-CH;students;students;;
8022;6026810;PBA-CH/1E2;PBA-CH;students;students;;
8023;6026825;GRAD-SYS1-GENT/AVOND/3A;GRAD-SYS1-GENT;students;students;;
8024;6026839;GRAD-SYS1-GENT/AVOND/1A;GRAD-SYS1-GENT;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;4.0
8025;6026949;PBA-VG-LAM/3SEM1;PBA-VG-LAM;students;students;;
8026;6027000;PBA-VG-LAM/3SEM1;PBA-VG-LAM;students;students;;
8027;6027153;PBA-VG-LAM/3SEM1;PBA-VG-LAM;students;students;;
8028;6027204;PBA-VG-LAM/3SEM1;PBA-VG-LAM;students;students;;
8029;6027514;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
8030;6027565;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
8031;6027616;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
8032;6027667;;;;;;
8033;6027754;PBA-ORTH/3A1;PBA-ORTH;students;students;;
8034;6027755;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;11.0
8035;6027756;PBA-ORTH/3A3;PBA-ORTH;students;students;;
8036;6027757;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;11.0
8037;6027758;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;11.0
8038;6027759;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;11.0
8039;6027760;PBA-ORTH/3B1;PBA-ORTH;students;students;;
8040;6027761;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;11.0
8041;6027762;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;11.0
